week_start,episode_count
2021-04-18,14
2021-04-25,21
2021-05-02,18
2021-05-09,13
2021-05-16,9
2021-05-23,6
2021-05-30,17
2021-06-06,15
2021-06-13,12
2021-06-20,13
2021-06-27,25
2021-07-04,10
2021-07-11,11
2021-07-18,9
2021-07-25,18
2021-08-01,5
2021-08-08,13
2021-08-15,16
2021-08-22,11
2021-08-29,10
2021-09-05,13
2021-09-12,6
2021-09-19,6
2021-09-26,12
2021-10-03,8
2021-10-10,9
2021-10-17,9
2021-10-24,10
2021-10-31,11
2021-11-07,18
2021-11-14,14
2021-11-21,9
2021-11-28,14
2021-12-05,11
2021-12-12,16
2021-12-19,14
2021-12-26,16
2022-01-02,14
2022-01-09,9
2022-01-16,7
2022-01-23,12
2022-01-30,18
2022-02-06,18
2022-02-13,16
2022-02-20,18
2022-02-27,23
2022-03-06,10
2022-03-13,10
2022-03-20,9
2022-03-27,12
2022-04-03,11
2022-04-10,17
2022-04-17,15
2022-04-24,9
2022-05-01,13
2022-05-08,11
2022-05-15,16
2022-05-22,7
2022-05-29,12
2022-06-05,14
2022-06-12,11
2022-06-19,13
2022-06-26,8
2022-07-03,8
2022-07-10,14
2022-07-17,12
2022-07-24,10
2022-07-31,24
2022-08-07,10
2022-08-14,13
2022-08-21,12
2022-08-28,23
2022-09-04,10
2022-09-11,13
2022-09-18,7
2022-09-25,11
2022-10-02,36
2022-10-09,11
2022-10-16,19
2022-10-23,13
2022-10-30,11
2022-11-06,12
2022-11-13,14
2022-11-20,11
2022-11-27,21
2022-12-04,13
2022-12-11,12
2022-12-18,12
2022-12-25,18
2023-01-01,14
2023-01-08,9
2023-01-15,17
2023-01-22,17
2023-01-29,33
2023-02-05,32
2023-02-12,48
2023-02-19,19
2023-02-26,22
2023-03-05,21
2023-03-12,22
2023-03-19,22
2023-03-26,17
2023-04-02,23
2023-04-09,22
2023-04-16,15
2023-04-23,19
2023-04-30,21
2023-05-07,12
2023-05-14,12
2023-05-21,9
2023-05-28,17
2023-06-04,13
2023-06-11,11
2023-06-18,12
2023-06-25,11
2023-07-02,12
2023-07-09,14
2023-07-16,10
2023-07-23,21
2023-07-30,9
2023-08-06,6
2023-08-13,12
2023-08-20,13
2023-08-27,11
2023-09-03,10
2023-09-10,15
2023-09-17,8
2023-09-24,12
2023-10-01,15
2023-10-08,11
2023-10-15,11
2023-10-22,12
2023-10-29,14
2023-11-05,13
2023-11-12,13
2023-11-19,26
2023-11-26,19
2023-12-03,11
2023-12-10,27
2023-12-17,9
2023-12-24,15
2023-12-31,10
2024-01-07,7
2024-01-14,17
2024-01-21,13
2024-01-28,18
2024-02-04,14
2024-02-11,10
2024-02-18,14
2024-02-25,15
2024-03-03,6
2024-03-10,15
2024-03-17,14
2024-03-24,9
2024-03-31,10
2024-04-07,9
2024-04-14,9
2024-04-21,10
2024-04-28,11
2024-05-05,5
2024-05-12,4
2024-05-19,11
2024-05-26,12
2024-06-02,14
2024-06-09,4
2024-06-16,18
2024-06-23,7
2024-06-30,14
2024-07-07,14
2024-07-14,14
2024-07-21,26
2024-07-28,19
2024-08-04,22
2024-08-11,17
2024-08-18,20
2024-08-25,18
2024-09-01,34
2024-09-08,61
2024-09-15,41
